ExperimentID,Cohort,SubjectName,SubjectNumber,SessionNumber,SessionType,ExperimentType,Direction,Comment,DateTime,LogFileName
126,CSU,gio,17,4.0,test,Training randomised Type 2,LEFT,CB R 2 Pos = LEFT,2023-11-14 04:07:06.316598,Experiment_2023-11-14T04:07:06.316598_gio_4.0_Training randomised Type 2.log
127,CSU,dusty,18,4.0,test,Training randomised Type 2,RIGHT,CB R 2 Poss = LEFT ,2023-11-14 04:38:56.660845,Experiment_2023-11-14T04:38:56.660845_dusty_4.0_Training randomised Type 2.log
128,CSU,freya,19,,test,Test Type 1,LEFT,CB T 1 Pos = LEFT,2023-11-14 05:29:24.069610,Experiment_2023-11-14T05:29:24.069610_freya_nan_Test Type 1.log
129,CSU,pumba,21,,test,Test Type 1,LEFT,CB T 1 Poss = LEFT  ,2023-11-14 06:35:09.308410,Experiment_2023-11-14T06:35:09.308410_pumba_nan_Test Type 1.log
130,CSU,clover,22,,test,Training randomised Type 2,RIGHT,CB R 2 Pos = RIGHT,2023-11-14 07:17:26.885747,Experiment_2023-11-14T07:17:26.885747_clover_nan_Training randomised Type 2.log
131,CSU,nix,16,5.0,test,Training randomised Type 2,RIGHT,Cb R 2 after CBT wrongly given Pos = RIGHT,2023-11-14 08:02:44.063274,Experiment_2023-11-14T08:02:44.063274_nix_5.0_Training randomised Type 2.log
132,CSU,jelly,11,5.0,test,Training randomised Type 1,LEFT,CB R 1 Pos = LEFT,2023-11-14 08:46:04.505826,Experiment_2023-11-14T08:46:04.505826_jelly_5.0_Training randomised Type 1.log
133,CSU,smudge,12,5.0,test,Training randomised Type 2,RIGHT,CB R 2 Pos = RIGHT,2023-11-14 09:21:32.260775,Experiment_2023-11-14T09:21:32.260775_smudge_5.0_Training randomised Type 2.log
134,CSU,myrtle,14,6.0,test,Training randomised Type 1,RIGHT,CB r 3 Poss = RIGHT,2023-11-14 10:23:47.643202,Experiment_2023-11-14T10:23:47.643202_myrtle_6.0_Training randomised Type 1.log
135,CSU,nix,16,7.0,test,Training randomised Type 1,RIGHT,CB R 3 Poss = RIGHT,2023-11-14 11:07:04.244882,Experiment_2023-11-14T11:07:04.244882_nix_7.0_Training randomised Type 1.log
136,CSU,yoshi,15,5.0,test,Training randomised Type 2,LEFT,CB R 2 Poss = LEFT,2023-11-14 11:34:20.820883,Experiment_2023-11-14T11:34:20.820883_yoshi_5.0_Training randomised Type 2.log
137,CSU,dusty,18,6.0,test,Training randomised Type 1,RIGHT,CB R 3 Pos = RIGHT,2023-11-14 12:13:40.543722,Experiment_2023-11-14T12:13:40.543722_dusty_6.0_Training randomised Type 1.log
138,CSU,gio,17,5.0,test,Test Type 1,LEFT,CB T1 pos = LEFT Windy/hot ,2023-11-14 12:37:30.469954,Experiment_2023-11-14T12:37:30.469954_gio_5.0_Test Type 1.log
139,CSU,pumba,21,,test,Training randomised Type 2,LEFT,Cb R 2 Pos = LEFT hot/windy,2023-11-14 15:40:26.284336,Experiment_2023-11-14T15:40:26.284336_pumba_nan_Training randomised Type 2.log
140,CSU,clover,22,,test,Test Type 1,RIGHT,Cb T 1 Poss = LEFT,2023-11-14 16:29:57.013745,Experiment_2023-11-14T16:29:57.013745_clover_nan_Test Type 1.log
