ExperimentID,TrialID,EventID,EventTime,EventType
180,3112,6046,2023-11-17 03:27:32.592498,GO for Trial 1 - P - positive - response time 12.549603 - positive criterion count 1
180,3112,6047,2023-11-17 03:28:27.394990,Green button pressed - horse released
180,3113,6048,2023-11-17 03:28:57.394983,NOGO for Trial 2 - N - negative - negative criterion count 1
180,3113,6049,2023-11-17 03:29:35.209035,Green button pressed - horse released
180,3114,6050,2023-11-17 03:29:47.987398,GO for Trial 3 - M - median
180,3114,6051,2023-11-17 03:30:23.694694,Green button pressed - horse released
180,3115,6052,2023-11-17 03:30:53.694667,NOGO for Trial 4 - N - negative - negative criterion count 2
180,3115,6053,2023-11-17 03:31:19.913434,Green button pressed - horse released
180,3116,6054,2023-11-17 03:31:32.410302,GO for Trial 5 - P - positive - response time 12.496944 - positive criterion count 2
180,3116,6055,2023-11-17 03:32:40.175333,Green button pressed - horse released
180,3117,6056,2023-11-17 03:32:52.798700,GO for Trial 6 - P - positive - response time 12.623351 - positive criterion count 3
180,3117,6057,2023-11-17 03:33:52.979123,Green button pressed - horse released
180,3118,6058,2023-11-17 03:34:22.979003,NOGO for Trial 7 - N - negative - negative criterion count 3
180,3118,6059,2023-11-17 03:34:56.525794,Green button pressed - horse released
180,3119,6060,2023-11-17 03:35:09.154267,GO for Trial 8 - NP - near positive
180,3119,6061,2023-11-17 03:35:41.724781,Green button pressed - horse released
180,3120,6062,2023-11-17 03:35:55.551389,GO for Trial 9 - P - positive - response time 13.826584 - positive criterion count 4
180,3120,6063,2023-11-17 03:36:56.291646,Green button pressed - horse released
180,3121,6064,2023-11-17 03:37:26.291607,NOGO for Trial 10 - N - negative - negative criterion count 4
180,3121,6065,2023-11-17 03:37:49.737034,Green button pressed - horse released
180,3122,6066,2023-11-17 03:38:19.737047,NOGO for Trial 11 - N - negative - negative criterion count 5
180,3122,6067,2023-11-17 03:39:01.375243,Green button pressed - horse released
180,3123,6068,2023-11-17 03:39:13.690105,GO for Trial 12 - P - positive - response time 12.314726 - positive criterion count 5
180,3123,6069,2023-11-17 03:40:09.744250,Green button pressed - horse released
180,3124,6070,2023-11-17 03:40:39.744247,NOGO for Trial 13 - NN - near negative - response time 30.000003
180,3124,6071,2023-11-17 03:41:11.353612,Green button pressed - horse released
180,3125,6072,2023-11-17 03:41:23.605277,GO for Trial 14 - P - positive - response time 12.251616 - positive criterion count 6
180,3125,6073,2023-11-17 03:42:12.302234,Green button pressed - horse released
180,3126,6074,2023-11-17 03:42:42.301767,NOGO for Trial 15 - N - negative - negative criterion count 6


/* Purpose:
Retrieve event details for a specific log file
*/

/* SQL Query:
Experiment_2023-11-17T03:22:54.109367_yoshi_11.0_Test TYPE 1.log
*/
