ExperimentID,TrialID,TrialNumber,TrialStartTime,TrialEndTime,ResponseType,TrialSubType,CriterionType,CriterionCount
180,3112,1,2023-11-17 03:27:32.592498,2023-11-17 03:28:27.394990,GO,P,positive,1.0
180,3113,2,2023-11-17 03:28:57.394983,2023-11-17 03:29:35.209035,NOGO,N,negative,1.0
180,3114,3,2023-11-17 03:29:47.987398,2023-11-17 03:30:23.694694,GO,M,,
180,3115,4,2023-11-17 03:30:53.694667,2023-11-17 03:31:19.913434,NOGO,N,negative,2.0
180,3116,5,2023-11-17 03:31:32.410302,2023-11-17 03:32:40.175333,GO,P,positive,2.0
180,3117,6,2023-11-17 03:32:52.798700,2023-11-17 03:33:52.979123,GO,P,positive,3.0
180,3118,7,2023-11-17 03:34:22.979003,2023-11-17 03:34:56.525794,NOGO,N,negative,3.0
180,3119,8,2023-11-17 03:35:09.154267,2023-11-17 03:35:41.724781,GO,NP,,
180,3120,9,2023-11-17 03:35:55.551389,2023-11-17 03:36:56.291646,GO,P,positive,4.0
180,3121,10,2023-11-17 03:37:26.291607,2023-11-17 03:37:49.737034,NOGO,N,negative,4.0
180,3122,11,2023-11-17 03:38:19.737047,2023-11-17 03:39:01.375243,NOGO,N,negative,5.0
180,3123,12,2023-11-17 03:39:13.690105,2023-11-17 03:40:09.744250,GO,P,positive,5.0
180,3124,13,2023-11-17 03:40:39.744247,2023-11-17 03:41:11.353612,NOGO,NN,,
180,3125,14,2023-11-17 03:41:23.605277,2023-11-17 03:42:12.302234,GO,P,positive,6.0
180,3126,15,2023-11-17 03:42:42.301767,2023-11-17 03:42:42.301767,NOGO,N,negative,6.0


/* Purpose:
Retrieve trial details for a specific log file
*/

/* SQL Query:
Experiment_2023-11-17T03:22:54.109367_yoshi_11.0_Test TYPE 1.log
*/
