ExperimentID,TrialID,TrialNumber,TrialStartTime,TrialEndTime,ResponseType,TrialSubType,CriterionType,CriterionCount
41,781,1,2023-10-09 17:50:26.919705,2023-10-09 17:52:29.968279,GO,P,positive,1
41,782,2,2023-10-09 17:53:29.968300,2023-10-09 17:54:09.722465,NOGO,N,negative,1
41,783,3,2023-10-09 17:54:21.266292,2023-10-09 17:55:48.518037,GO,P,positive,2
41,784,4,2023-10-09 17:56:00.046265,2023-10-09 17:56:19.116396,GO,N,,0
41,785,5,2023-10-09 17:57:19.116385,2023-10-09 17:57:45.320918,NOGO,N,negative,2
41,786,6,2023-10-09 17:57:55.169267,2023-10-09 17:59:31.704638,GO,P,positive,3
41,787,7,2023-10-09 17:59:53.701160,2023-10-09 18:00:38.920273,GO,N,,0
41,788,8,2023-10-09 18:00:50.038745,2023-10-09 18:02:25.080445,GO,P,positive,4
41,789,9,2023-10-09 18:02:35.342735,2023-10-09 18:03:28.534260,GO,P,positive,5
41,790,10,2023-10-09 18:04:28.534258,2023-10-09 18:04:59.035480,NOGO,N,negative,3
41,791,11,2023-10-09 18:05:11.801773,2023-10-09 18:07:02.642547,GO,P,positive,6
41,792,12,2023-10-09 18:08:02.642448,2023-10-09 18:08:25.615940,NOGO,N,negative,4
41,793,13,2023-10-09 18:08:45.246303,2023-10-09 18:09:18.531072,GO,N,,0
41,794,14,2023-10-09 18:09:29.922994,2023-10-09 18:11:17.276917,GO,P,positive,7
41,795,15,2023-10-09 18:12:17.276907,2023-10-09 18:12:51.918371,NOGO,N,negative,5
41,796,16,2023-10-09 18:13:03.342167,2023-10-09 18:14:42.986387,GO,P,positive,8
41,797,17,2023-10-09 18:14:53.377774,2023-10-09 18:16:17.926250,GO,P,positive,9
41,798,18,2023-10-09 18:17:17.925594,2023-10-09 18:17:51.391368,NOGO,N,negative,6
41,799,19,2023-10-09 18:18:01.437739,2023-10-09 18:19:42.720723,GO,P,positive,10
41,800,20,2023-10-09 18:20:42.720777,2023-10-09 18:20:42.720777,NOGO,N,negative,7


/* Purpose:
Retrieve trial details for a specific log file
*/

/* SQL Query:
Experiment_2023-10-09T17:45:46.540359_apollo_5_Training randomised TYPE 1.log
*/
