ExperimentID,Cohort,SubjectName,SubjectNumber,SessionNumber,SessionType,ExperimentType,Comment,DateTime,LogFileName
84,HD,molly,10,11.0,test,Test Type 1,CB-T 4 after RP-R reinstatement criterion,2023-10-22 13:27:32.965713,Experiment_2023-10-22T13:27:32.965713_molly_11_Test Type 1.log
70,HD,dougie,7,10.0,test,Test Type 3,CB-T 4 after reaching RP-E criterion,2023-10-20 15:32:07.559818,Experiment_2023-10-20T15:32:07.559818_dougie_10_Test Type 3.log
157,CSU,myrtle,14,9.0,test,Test Type 2,CBT 2 after RP A 3 acquisition,2023-11-15 17:59:06.826933,Experiment_2023-11-15T17:59:06.826933_myrtle_9.0_Test Type 2.log
155,CSU,jelly,11,7.0,test,Test Type 2,CBT 2 after RP A 4 acquisition,2023-11-15 16:04:18.871968,Experiment_2023-11-15T16:04:18.871968_jelly_7.0_Test Type 2.log
164,CSU,nix,16,10.0,test,Test Type 3,CBT 3 after RP E ,2023-11-16 09:12:31.465402,Experiment_2023-11-16T09:12:31.465402_nix_10.0_Test Type 3.log
173,CSU,smudge,12,10.0,test,Test Type 1,CBT 4 after RP E = two RP ER sessions,2023-11-16 20:27:00.214523,Experiment_2023-11-16T20:27:00.214523_smudge_10.0_Test Type 1.log
182,CSU,dusty,18,11.0,test,Test Type 1,CBT 4 after RP R,2023-11-17 04:39:51.602365,Experiment_2023-11-17T04:39:51.602365_dusty_11.0_Test Type 1.log
68,HD,mowgli,3,7.0,test,Test Type 3,CBT-3 after reaching extiction criterion,2023-10-20 11:51:36.082488,Experiment_2023-10-20T11:51:36.082488_mowgli_7_Test Type 3.log
64,HD,molly,10,9.0,test,Test Type 2,CBT2 after reaching criterion RP A 2,2023-10-17 16:49:28.592735,Experiment_2023-10-17T16:49:28.592735_molly_9_Test Type 2.log
71,HD,ash,2,10.0,test,Test Type 1,CBTA- after reinstatement criterion reached,2023-10-20 17:37:43.849099,Experiment_2023-10-20T17:37:43.849099_ash_10_Test Type 1.log
75,HD,filly,6,12.0,test,Test Type 3,"CH T 4, CB-T ype 1, after reinstatement",2023-10-21 14:15:00.246809,Experiment_2023-10-21T14:15:00.246809_filly_12_Test Type 3.log
162,CSU,freya,19,,test,Test Type 3,Cb T 3 aftter RP E raining,2023-11-16 05:15:17.737341,Experiment_2023-11-16T05:15:17.737341_freya_nan_Test Type 3.log
0,HD,atom,1,2.0,test,Training - fixed,First session,2023-10-06 12:49:44.174442,Experiment_2023-10-06T12:49:44.174442_atom_2_Training - fixed.log
10,HD,bonnie,8,54.0,test,Training - fixed,None,2023-10-06 20:06:03.009376,Experiment_2023-10-06T20:06:03.009376_bonnie_54_Training - fixed.log
123,CSU,myrtle,14,5.0,test,Training randomised Type 2,end of previous session,2023-11-14 01:18:45.941991,Experiment_2023-11-14T01:18:45.941991_myrtle_5.0_Training randomised Type 2.log


/* Purpose:
Retrieves all Experiments where the comment doesn't contain LEFT or RIGHT
*/

/* SQL Query:
SELECT * EXCLUDE PARAMETERS
FROM ExperimentCBs
WHERE LOWER(COMMENT) NOT LIKE '%left%'
  AND LOWER(COMMENT) NOT LIKE '%right%'
  AND LOWER(COMMENT) NOT LIKE '%pos = r%'
  AND COMMENT IS NOT NULL
ORDER BY COMMENT;
*/
