TrialID,ExperimentID,TrialNumber,TrialStartTime,TrialEndTime
0,0,1,2023-10-02 21:35:48.162508,2023-10-02 21:35:48.162508
1,1,1,2023-10-02 21:47:38.990637,2023-10-02 21:47:38.990637
2,2,1,2023-10-03 14:21:29.853253,2023-10-03 14:21:47.676705
3,3,1,2023-10-03 14:45:15.534211,2023-10-03 14:46:38.868464
4,3,2,2023-10-03 14:45:15.534211,2023-10-03 14:46:38.868464
5,3,3,2023-10-03 14:45:15.534211,2023-10-03 14:46:38.868464
6,3,4,2023-10-03 14:45:15.534211,2023-10-03 14:46:38.868464
7,3,5,2023-10-03 14:45:15.534211,2023-10-03 14:46:38.868464
8,4,1,2023-10-03 16:28:52.759361,2023-10-03 16:49:48.940132
9,4,2,2023-10-03 16:28:52.759361,2023-10-03 16:49:48.940132
10,4,3,2023-10-03 16:28:52.759361,2023-10-03 16:49:48.940132
11,4,4,2023-10-03 16:28:52.759361,2023-10-03 16:49:48.940132
12,4,5,2023-10-03 16:28:52.759361,2023-10-03 16:49:48.940132
13,5,1,2023-10-03 16:51:53.522091,2023-10-03 17:00:58.854983
14,5,2,2023-10-03 16:51:53.522091,2023-10-03 17:00:58.854983
15,5,3,2023-10-03 16:51:53.522091,2023-10-03 17:00:58.854983
16,5,4,2023-10-03 16:51:53.522091,2023-10-03 17:00:58.854983
17,5,5,2023-10-03 16:51:53.522091,2023-10-03 17:00:58.854983
18,6,1,2023-10-03 17:01:46.202032,2023-10-03 17:05:42.870374
19,6,2,2023-10-03 17:01:46.202032,2023-10-03 17:05:42.870374
20,6,3,2023-10-03 17:01:46.202032,2023-10-03 17:05:42.870374
21,6,4,2023-10-03 17:01:46.202032,2023-10-03 17:05:42.870374
22,6,5,2023-10-03 17:01:46.202032,2023-10-03 17:05:42.870374
23,7,1,2023-10-03 17:22:34.025917,2023-10-03 17:26:01.236794
24,7,2,2023-10-03 17:22:34.025917,2023-10-03 17:26:01.236794
25,7,3,2023-10-03 17:22:34.025917,2023-10-03 17:26:01.236794
26,7,4,2023-10-03 17:22:34.025917,2023-10-03 17:26:01.236794
27,7,5,2023-10-03 17:22:34.025917,2023-10-03 17:26:01.236794
28,8,1,2023-10-03 17:37:33.947602,2023-10-03 17:40:51.654355
29,8,2,2023-10-03 17:37:33.947602,2023-10-03 17:40:51.654355
30,8,3,2023-10-03 17:37:33.947602,2023-10-03 17:40:51.654355
31,8,4,2023-10-03 17:37:33.947602,2023-10-03 17:40:51.654355
32,8,5,2023-10-03 17:37:33.947602,2023-10-03 17:40:51.654355
33,9,1,2023-10-03 17:49:15.360900,2023-10-03 17:53:10.673617
34,9,2,2023-10-03 17:49:15.360900,2023-10-03 17:53:10.673617
35,9,3,2023-10-03 17:49:15.360900,2023-10-03 17:53:10.673617
36,9,4,2023-10-03 17:49:15.360900,2023-10-03 17:53:10.673617
37,9,5,2023-10-03 17:49:15.360900,2023-10-03 17:53:10.673617
