0,Experiment_2023-10-17T10:43:51.792607_apollo_1_RPE-A.log,apollo,RPE-A,1,2023-10-17 10:43:51.792607,
1,Experiment_2023-10-17T16:13:41.147669_apollo_2_RPE-H.log,apollo,RPE-H,2,2023-10-17 16:13:41.147669,0 days 05:29:49.355062
2,Experiment_2023-10-18T14:03:55.768637_apollo_3_RPE-H.log,apollo,RPE-H,3,2023-10-18 14:03:55.768637,0 days 21:50:14.620968
3,Experiment_2023-10-19T15:20:19.777453_apollo_4_RPE-H.log,apollo,RPE-H,4,2023-10-19 15:20:19.777453,1 days 01:16:24.008816
4,Experiment_2023-10-20T16:27:31.219719_apollo_5_RPE-H.log,apollo,RPE-H,5,2023-10-20 16:27:31.219719,1 days 01:07:11.442266
5,Experiment_2023-10-21T16:20:06.112435_apollo_6_RPE-E.log,apollo,RPE-E,6,2023-10-21 16:20:06.112435,0 days 23:52:34.892716
6,Experiment_2023-10-22T12:11:39.779252_apollo_7_RPE-ER.log,apollo,RPE-ER,7,2023-10-22 12:11:39.779252,0 days 19:51:33.666817
7,Experiment_2023-10-22T12:18:40.988353_apollo_8_RPE-R.log,apollo,RPE-R,8,2023-10-22 12:18:40.988353,0 days 00:07:01.209101
8,Experiment_2023-10-04T11:35:02.366254_ash_1_RPE-H.log,ash,RPE-H,1,2023-10-04 11:35:02.366254,-19 days +23:16:21.377901
9,Experiment_2023-10-04T11:36:30.074717_ash_2_RPE-H.log,ash,RPE-H,2,2023-10-04 11:36:30.074717,0 days 00:01:27.708463
10,Experiment_2023-10-11T11:09:31.314832_ash_3_RPE-A.log,ash,RPE-A,3,2023-10-11 11:09:31.314832,6 days 23:33:01.240115
11,Experiment_2023-10-12T11:44:32.961013_ash_4_RPE-A.log,ash,RPE-A,4,2023-10-12 11:44:32.961013,1 days 00:35:01.646181
12,Experiment_2023-10-12T12:35:34.587679_ash_5_RPE-A.log,ash,RPE-A,5,2023-10-12 12:35:34.587679,0 days 00:51:01.626666
13,Experiment_2023-10-16T10:14:09.991661_ash_6_RPE-A.log,ash,RPE-A,6,2023-10-16 10:14:09.991661,3 days 21:38:35.403982
14,Experiment_2023-10-17T10:08:46.553478_ash_7_RPE-H.log,ash,RPE-H,7,2023-10-17 10:08:46.553478,0 days 23:54:36.561817
15,Experiment_2023-10-18T11:03:46.604520_ash_8_RPE-H.log,ash,RPE-H,8,2023-10-18 11:03:46.604520,1 days 00:55:00.051042
16,Experiment_2023-10-19T12:21:17.495080_ash_9_RPE-H.log,ash,RPE-H,9,2023-10-19 12:21:17.495080,1 days 01:17:30.890560
17,Experiment_2023-10-20T10:45:37.839423_ash_10_RPE-E.log,ash,RPE-E,10,2023-10-20 10:45:37.839423,0 days 22:24:20.344343
18,Experiment_2023-10-20T17:15:02.529514_ash_11_RPE-ER.log,ash,RPE-ER,11,2023-10-20 17:15:02.529514,0 days 06:29:24.690091
19,Experiment_2023-10-20T17:18:59.586821_ash_12_RPE-R.log,ash,RPE-R,12,2023-10-20 17:18:59.586821,0 days 00:03:57.057307
20,Experiment_2023-10-20T17:21:35.527287_ash_13_RPE-R.log,ash,RPE-R,13,2023-10-20 17:21:35.527287,0 days 00:02:35.940466
21,Experiment_2023-10-20T17:25:54.309711_ash_14_RPE-R.log,ash,RPE-R,14,2023-10-20 17:25:54.309711,0 days 00:04:18.782424
22,Experiment_2023-10-16T09:48:06.134122_atom_1_RPE-H.log,atom,RPE-H,1,2023-10-16 09:48:06.134122,-5 days +16:22:11.824411
23,Experiment_2023-10-17T09:42:51.051301_atom_2_RPE-H.log,atom,RPE-H,2,2023-10-17 09:42:51.051301,0 days 23:54:44.917179
