0,1,Atom,9
1,2,Ash,14
2,3,Mowgli,10
3,4,Teddy,12
4,5,Dodge,10
5,6,Filly,10
6,7,Dougie,9
7,8,Bonnie,74
8,9,Apollo,8
9,10,Molly,8
10,11,Jelly,12
11,12,Smudge,10
12,13,George,9
13,14,Myrtle,9
14,15,Yoshi,8
15,16,Nix,7
16,17,Gio,8
17,18,Dusty,9
18,19,Freya,8
19,20,Olive,3
20,21,Pumba,11
21,22,Clover,9
